id,name,mpn,slug_cu,name_slug,mpn_slug,slug_moi
0bde544e-dd38-432e-9f50-8459a509a6d9,Máy lạnh giấu trần nối ống gió 2HP Daikin inverter ( 1 pha ),FBA50BVMA9,20hp-fba50bvma9,may-lanh-giau-tran-noi-ong-gio-2hp-daikin-inverter-1-pha,fba50bvma9,may-lanh-giau-tran-noi-ong-gio-2hp-daikin-inverter-1-pha-fba50bvma9
3485142b-c9f5-4366-b6db-e62579a34ca2,Máy lạnh giấu trần nối ống gió 2HP Daikin inverter ( 1 pha ),FBFC50DVM9,20hp-fbfc50dvm9,may-lanh-giau-tran-noi-ong-gio-2hp-daikin-inverter-1-pha,fbfc50dvm9,may-lanh-giau-tran-noi-ong-gio-2hp-daikin-inverter-1-pha-fbfc50dvm9
5863d6bd-ec72-41fa-8bdc-65d65fb62850,Máy lạnh giấu trần nối ống gió 3.5HP Daikin ( 1 pha ),FDMNQ30MV1,35hp-fdmnq30mv1,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-1-pha,fdmnq30mv1,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-1-pha-fdmnq30mv1
b19d2490-9505-4e05-843c-de0bae1b1ba0,Máy lạnh giấu trần nối ống gió 3.5HP Daikin ( 3 pha ),FDMNQ30MV1,35hp-fdmnq30mv1-1,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-3-pha,fdmnq30mv1,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-3-pha-fdmnq30mv1
1d487ed3-d0fb-4b78-93ec-342a7d89249c,Máy lạnh giấu trần nối ống gió 3.5HP Daikin ( 3 pha ),FDMNQ36MV1,4hp-fdmnq36mv1,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-3-pha,fdmnq36mv1,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-3-pha-fdmnq36mv1
501f9836-7c7e-403f-9bcb-22946bf65596,Máy lạnh giấu trần nối ống gió 3.5HP Daikin inverter ( 1 pha ),FBFC85DVM9,35hp-fbfc85dvm9,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-inverter-1-pha,fbfc85dvm9,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-inverter-1-pha-fbfc85dvm9
6f708546-0e12-446c-9ce5-4ae5e4c70c21,Máy lạnh giấu trần nối ống gió 3.5HP Daikin inverter ( 3 pha ),"FBFC85DVM9 ",35hp-fbfc85dvm9-1,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-inverter-3-pha,fbfc85dvm9,may-lanh-giau-tran-noi-ong-gio-35hp-daikin-inverter-3-pha-fbfc85dvm9
9ac01365-e729-4e51-ba99-881feb53e0c2,Máy lạnh giấu trần nối ống gió 3HP Daikin ( 1 pha ),FDMNQ26MV1,3hp-fdmnq26mv1,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-1-pha,fdmnq26mv1,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-1-pha-fdmnq26mv1
63cb97e0-1fc4-4c2b-a11f-d23b9d03474a,Máy lạnh giấu trần nối ống gió 3HP Daikin ( 3 pha ),FDMNQ26MV1,3hp-fdmnq26mv1-1,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-3-pha,fdmnq26mv1,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-3-pha-fdmnq26mv1
c474b377-df01-4051-8aef-dce81fef35d7,Máy lạnh giấu trần nối ống gió 3HP Daikin inverter ( 1 pha ),FBA71BVMA9,3hp-fba71bvma9-1,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-inverter-1-pha,fba71bvma9,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-inverter-1-pha-fba71bvma9
1ec73519-aec2-41b9-8dd6-94ba5f64865a,Máy lạnh giấu trần nối ống gió 3HP Daikin inverter ( 1 pha ),FBFC71DVM9,30hp-fbfc71dvm9,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-inverter-1-pha,fbfc71dvm9,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-inverter-1-pha-fbfc71dvm9
a22f3267-9d9a-4a63-aa0a-c637a075b2c5,Máy lạnh giấu trần nối ống gió 3HP Daikin inverter ( 3 pha ),FBA71BVMA9,30hp-fba71bvma9,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-inverter-3-pha,fba71bvma9,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-inverter-3-pha-fba71bvma9
9f053214-4a6b-43b5-8356-45d2362693c7,Máy lạnh giấu trần nối ống gió 3HP Daikin inverter ( 3 pha ),FBFC71DVM9,3hp-fbfc71dvm9,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-inverter-3-pha,fbfc71dvm9,may-lanh-giau-tran-noi-ong-gio-3hp-daikin-inverter-3-pha-fbfc71dvm9
82e5a304-fb6c-47ae-8497-c539480a5f5b,Máy lạnh giấu trần nối ống gió 4HP Daikin ( 1 pha ),FDMNQ36MV1,4hp-fdmnq36mv1-1,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-1-pha,fdmnq36mv1,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-1-pha-fdmnq36mv1
adc4d3eb-7fa5-415c-84e6-93e758e16a89,Máy lạnh giấu trần nối ống gió 4HP Daikin inverter ( 1 pha ),FBA100BVMA9,40hp-fba100bvma9,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-inverter-1-pha,fba100bvma9,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-inverter-1-pha-fba100bvma9
ec9a4ed6-2af1-4fa5-9493-94ebb5637f53,Máy lạnh giấu trần nối ống gió 4HP Daikin inverter ( 1 pha ),FBFC100DVM9,40hp-fbfc100dvm9,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-inverter-1-pha,fbfc100dvm9,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-inverter-1-pha-fbfc100dvm9
5625fb65-2723-49fa-8142-553c34946023,Máy lạnh giấu trần nối ống gió 4HP Daikin inverter ( 3 pha ),FBA100BVMA9,4hp-fba100bvma9-1,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-inverter-3-pha,fba100bvma9,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-inverter-3-pha-fba100bvma9
bb3542fd-f788-4d85-96be-6b6770920088,Máy lạnh giấu trần nối ống gió 4HP Daikin inverter ( 3 pha ),FBFC100DVM9,4hp-fbfc100dvm9,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-inverter-3-pha,fbfc100dvm9,may-lanh-giau-tran-noi-ong-gio-4hp-daikin-inverter-3-pha-fbfc100dvm9
