Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10),Value (11),Value (12),Value (13),Value (14)
id,66a877cd-9fc2-4a58-97ac-0844bd807e80,b9f19f5a-bbed-45f7-96a6-fde218f98301,e8ca1641-127b-4d20-ae61-72ea1d404a58,42ac49d7-5b9c-4bcf-b5a0-e93f12dbb846,945559da-684e-46f0-ae87-7db9040d15bb,1dedc4ac-a899-4b92-ba07-7c50363fc78f,be38717c-1a6c-4766-8f6e-75f43ba7a230,57df15a1-2928-49b5-923d-1e39cde0338b,725c1193-23c4-4cfa-8ddb-bfeddd76b932,a7afe42a-414a-4a57-b459-f03a1a542fc8,94e84756-ca32-4df6-9bd4-c9c02f20f623,61dae26b-5cc4-4fe5-beba-5f796812219e,9ecf3bfe-93b7-48cf-9682-30ffda70eca2,f300f65c-bab7-4351-9a3f-3ef22e5d3b02
name,Máy lọc không khí,Thi công,"Máy cấp khí tươi, lọc không khí",Phụ kiện đồng bộ của hệ thống cấp gió tươi,Máy lạnh,Lọc không khí,Áp trần,Máy lọc nước,Mẫu,Treo tường,Giấu trần nối ống gió,Âm trần đa hướng thổi,Điều hòa tủ đứng,Máy lạnh
type,product,project,product,product,project,project,product,product,project,product,product,product,product,product
created_at,2026-04-16 21:15:55.591239 +00:00,2026-04-18 17:08:01.097311 +00:00,2026-04-16 21:16:07.007876 +00:00,2026-04-17 04:21:20.102796 +00:00,2026-04-18 17:08:26.021450 +00:00,2026-04-18 17:17:56.790200 +00:00,2026-04-07 10:22:46.167940 +00:00,2026-04-22 03:32:52.322562 +00:00,2026-04-22 03:50:11.800775 +00:00,2026-04-07 05:49:41.531848 +00:00,2026-04-07 10:23:17.702790 +00:00,2026-04-07 05:49:31.631649 +00:00,2026-04-23 08:51:37.698346 +00:00,2026-04-07 05:49:18.863270 +00:00
parent_id,,,66a877cd-9fc2-4a58-97ac-0844bd807e80,66a877cd-9fc2-4a58-97ac-0844bd807e80,b9f19f5a-bbed-45f7-96a6-fde218f98301,b9f19f5a-bbed-45f7-96a6-fde218f98301,f300f65c-bab7-4351-9a3f-3ef22e5d3b02,66a877cd-9fc2-4a58-97ac-0844bd807e80,b9f19f5a-bbed-45f7-96a6-fde218f98301,f300f65c-bab7-4351-9a3f-3ef22e5d3b02,f300f65c-bab7-4351-9a3f-3ef22e5d3b02,f300f65c-bab7-4351-9a3f-3ef22e5d3b02,f300f65c-bab7-4351-9a3f-3ef22e5d3b02,
slug,may-loc-khong-khi,thi-cong,may-loc-khong-khi-may-cap-khi-tuoi-loc-khong-khi,may-loc-khong-khi-phu-kien-dong-bo-cua-he-thong-cap-gio-tuoi,thi-cong-may-lanh,thi-cong-loc-khong-khi,may-lanh-ap-tran,may-loc-khong-khi-may-loc-nuoc,thi-cong-mau,may-lanh-treo-tuong,may-lanh-giau-tran-noi-ong-gio,may-lanh-am-tran,may-lanh-dieu-hoa-tu-dung,may-lanh
updated_at,2026-04-18 01:51:12.624723 +00:00,2026-04-18 17:08:01.097311 +00:00,2026-04-23 02:42:43.828486 +00:00,2026-04-23 02:42:44.066424 +00:00,2026-04-23 02:42:44.158516 +00:00,2026-04-23 02:42:44.245853 +00:00,2026-04-23 02:42:44.340729 +00:00,2026-04-23 02:42:44.426119 +00:00,2026-04-23 02:42:44.522119 +00:00,2026-04-23 02:42:44.608010 +00:00,2026-04-23 02:42:44.700500 +00:00,2026-04-23 02:42:44.836885 +00:00,2026-04-23 08:51:37.698346 +00:00,2026-04-18 01:51:12.624723 +00:00
deleted_at,,,,,,,,,,,,,,
