Column,Value (1),Value (2),Value (3),Value (4),Value (5),Value (6),Value (7),Value (8),Value (9),Value (10)
id,7ac2f828-fa0b-4ec3-881a-1d9bbf2d12cd,c596457f-52bd-4284-8e6d-929e7a978716,bd2ed01f-21d2-4370-a1bd-251d80511f65,a700ee2d-e4c8-4ad7-8501-d63fdc4cc4f0,888969e1-cb30-4fe9-b3ad-eaa204b77069,478ce209-d8a0-4116-bd8c-b8c840d55fdd,6ef50e49-3ca3-416c-8f25-b5d89635daab,b28e85f0-054b-441f-bbaf-c45f3efc41f7,0890fdc4-fe33-4104-848b-fd3df9a47dd9,eb31e7d7-12b3-437d-b73b-3c15a98d1474
name,Carrier,Daikin,LG,Gree,Menred,Midea,Mitsubishi,Panasonic,Samsung,Toshiba
slug,carrier,daikin,lg,gree,menred,midea,mitsubishi,panasonic,samsung,toshiba
logo_url,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677036084-rtyett6a15.webp,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677060136-dup5mg2vwv.webp,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677075186-xnbcvhak92i.webp,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677084593-wdb2vjqne2p.webp,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677095079-2a3cmm0vfl6.webp,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677102840-u3gf1873xj.webp,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677110358-9e0zli7r0f.webp,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677117220-i62h1rhrvj.webp,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677127261-fd5m4igqla7.webp,https://gdzihzsjfczuggwpykjk.supabase.co/storage/v1/object/public/images/brands/1776677134911-poip2flle9m.webp
description,,,,,,,,,,
created_at,2026-04-20 08:54:13.292081 +00:00,2026-04-20 08:54:13.292081 +00:00,2026-04-20 08:54:13.292081 +00:00,2026-04-20 08:54:13.292081 +00:00,2026-04-20 08:54:13.292081 +00:00,2026-04-20 08:54:13.292081 +00:00,2026-04-20 08:54:13.292081 +00:00,2026-04-20 08:54:13.292081 +00:00,2026-04-20 08:54:13.292081 +00:00,2026-04-20 08:54:13.292081 +00:00
