Column,Value (1),Value (2),Value (3)
id,059a73a0-b635-4668-b52b-be184748738d,f006005f-8893-4393-87b0-4dfde7ff9005,6b81780b-e10a-409c-b814-f146d212bb93
category_id,945559da-684e-46f0-ae87-7db9040d15bb,945559da-684e-46f0-ae87-7db9040d15bb,1dedc4ac-a899-4b92-ba07-7c50363fc78f
title,Lắp đặt hệ thống điều hoà không khí; hệ thống cấp khí tươi - biệt thự phố Thủ Dầu Một,"Thi Công Hệ Thống VRV Daikin & Khí Tươi Menred Hagisu Tại Villa Tấn Trường, Quận 7",Hệ thống lọc không khí Trung tâm cao cấp tại The River Thủ Thiêm
